Salinity[psu],Temperature[celsius],Pressure[dbar],Density[kg_m3],Depth[m]
32.7361,9.3401,88.1423,1025.6934551587394,87.63936275959935
32.7402,9.3394,89.0459,1025.7008777622837,88.53761304279186
32.7485,9.3375,89.8074,1025.7111288423603,89.29460157023956
32.7599,9.334,90.5006,1025.7237491089893,89.98369231129523
32.7726,9.3299,91.12,1025.7371462873582,90.59941857901187
32.7919,9.3252,91.5623,1025.7549913392104,91.03909411708604
32.7873,9.3251,92.2977,1025.75475610176,91.77012841261387
32.7867,9.3254,93.1534,1025.7581278634539,92.62074527063604
32.7849,9.3259,93.9192,1025.7601213226785,93.3819931765699
32.7675,9.3321,94.6067,1025.7486532724365,94.06540411187689
32.7845,9.3269,95.4725,1025.7667064572747,94.92605133097736
32.8087,9.3169,96.3645,1025.7912775720793,95.81273884901348
32.8724,9.2972,97.2057,1025.8480409174679,96.64892540859658
32.8519,9.304,98.134,1025.8351473120213,97.57168891167173
32.8326,9.3137,99.2015,1025.823356007622,98.632817082841
32.8648,9.3045,99.9905,1025.8535803061186,99.41710407601062
32.8969,9.2959,100.663,1025.8831009913042,100.08558460491743
32.8985,9.2944,101.484,1025.8883233479971,100.90167461310878
32.8878,9.2977,102.397,1025.8835800116358,101.80921060668653
32.9022,9.2923,103.4,1025.900258245571,102.80620335678994
32.924,9.286,104.427,1025.9229719965738,103.82704734910364
32.9248,9.2854,105.583,1025.9289458875248,104.97611202388525
32.9477,9.2757,106.582,1025.952940553271,105.96911342866572
32.9587,9.2697,107.733,1025.9677317761657,107.11319618205351
32.9817,9.2579,108.809,1025.9924932654503,108.1827239048092
33.0032,9.2398,109.912,1026.017220987859,109.27908343855809
33.0391,9.225,111.068,1026.0529085729243,110.42811761224152
33.0396,9.2171,112.219,1026.0598010618128,111.57217552889053
33.1291,9.1623,113.148,1026.142778699405,112.49556775812795
33.1559,9.1513,114.103,1026.1698307423565,113.44479871542384
33.1556,9.1521,115.086,1026.1739339792523,114.42185594683262
33.1628,9.1487,116.1,1026.1847145096326,115.42972089703558
33.1796,9.1428,117.022,1026.2029817132359,116.34613818676124
33.179,9.1441,117.842,1026.2060293014047,117.16116965176482
33.1985,9.1365,118.523,1026.2255850822528,117.83804088621717
33.2666,9.1047,119.249,1026.287219168324,118.55963683866136
33.3262,9.0817,119.885,1026.3403888748533,119.19177666465396
33.3069,9.0894,120.154,1026.325288330874,119.45914339566599
33.3374,9.0741,120.296,1026.352230747565,119.6002810836112
33.3083,9.0839,120.541,1026.3290234378194,119.84379306372078
33.2915,9.0992,120.7,1026.3141577739816,120.001827214737
33.3017,9.0929,121.017,1026.324582459361,120.31690122850448
33.2997,9.0929,121.018,1026.3230236244585,120.31789515207355
33.3124,9.0871,121.558,1026.3363353284076,120.85461317700573
33.3282,9.081,121.765,1026.350605705834,121.06035471479875
33.3623,9.0629,121.949,1026.381002638822,121.24323590875726
33.3781,9.0529,122.197,1026.3960847954795,121.4897276952123
33.3846,9.0505,122.199,1026.4015602773402,121.49171553099775
33.3866,9.0519,122.29,1026.4033128982583,121.58216203888905
33.3766,9.0576,122.539,1026.3957123567668,121.82964733496654
33.3813,9.0531,122.869,1026.4016074814501,122.15763943667119
33.3911,9.0484,122.483,1026.408268881261,121.77398801725461
33.3846,9.0521,122.228,1026.4014355605423,121.52053914772539
33.3969,9.0455,122.187,1026.4119233993472,121.47978851599657
33.3929,9.0487,121.755,1026.4063206021888,121.05041551481077
33.3968,9.0463,121.681,1026.4094181284427,120.97686541995502
33.3955,9.0478,121.591,1026.4077524759543,120.8874125664009
33.3946,9.0489,121.308,1026.4055868019611,120.6061327842152
33.3917,9.056,121.265,1026.4019860272422,120.56339412636426
33.3922,9.0517,121.121,1026.4024120700572,120.42026925393566
33.3925,9.0507,121.004,1026.40227533982,120.30398022166868
33.3917,9.0487,120.941,1026.401684195988,120.24136302318364
33.3928,9.0507,120.847,1026.4017965902774,120.14793415186658
33.3917,9.0514,120.77,1026.4004745658544,120.07140195966255
33.3929,9.0501,120.677,1026.4011985758934,119.97896693626159
33.3945,9.0484,120.508,1026.4019541079458,119.81099350771014
33.3923,9.0521,120.38,1026.3990595741639,119.68377093787886
33.3924,9.0514,120.164,1026.398268592855,119.46908267263862
33.3928,9.0495,120.139,1026.3987722328889,119.44423447930536
33.3935,9.0492,119.956,1026.3985361454809,119.26234561258738
33.3939,9.049,119.721,1026.3978132249813,119.02877224155263
33.3935,9.0494,119.372,1026.3958507421382,118.68189044728844
33.3933,9.0495,118.9,1026.3935338377305,118.21275425225835
33.3936,9.0493,118.615,1026.3925055345055,117.9294829377912
33.3925,9.0497,118.368,1026.3904591779876,117.6839808159677
33.3926,9.0495,118.403,1026.39072842856,117.71876858386463
33.393,9.0497,118.528,1026.3915770598273,117.84301056397909
33.3934,9.0499,118.734,1026.3927937104725,118.04776118325867
33.3923,9.0497,119.035,1026.393333331195,118.346935264886
33.3922,9.0493,119.183,1026.3939916739582,118.49403731135698
33.3918,9.0493,119.32,1026.394301397099,118.63020600373771
33.3918,9.0493,119.259,1026.3940242458007,118.56957615915287
33.391,9.0497,119.552,1026.3946659218082,118.86079803609564
33.3902,9.0501,119.968,1026.3958664263205,119.27427275632228
33.3896,9.0482,120.687,1026.398968489306,119.9889061880852
33.3923,9.0488,121.513,1026.4047360209145,120.80988672848245
33.4025,9.0427,122.423,1026.4178225157266,121.71435301725886
33.4021,9.0435,123.215,1026.4209797776161,122.50153362341412
33.4052,9.0425,123.774,1026.4261032849245,123.05713024068486
33.4097,9.0397,124.052,1026.4313332145346,123.33343712243708
33.4049,9.0432,124.286,1026.428082580827,123.56601169171468
33.4086,9.0413,124.244,1026.4310890400143,123.52426755764077
33.4093,9.0409,124.241,1026.4316867967489,123.52128583345382
33.4025,9.047,124.015,1026.4243659073957,123.29666248695018
33.4067,9.043,123.632,1026.4265507537284,122.9159949274904
33.4088,9.0416,123.252,1026.4266905867696,122.53830840122254
33.4126,9.0388,122.676,1026.4274933796548,121.96581381651501
33.4126,9.0383,122.21,1026.4254563454308,121.50264862747393
33.4128,9.0383,121.961,1026.4244814384379,121.25516293749119
33.4125,9.0387,121.639,1026.4227198583474,120.93512075980999
33.4125,9.0382,121.595,1026.422600056958,120.89138824960817
33.4116,9.0392,121.613,1026.4218179671163,120.90927882308863
33.4116,9.039,121.8,1026.4226996076725,121.0951419109701
33.4054,9.0409,122.02,1026.4185473180858,121.31380415202842
33.4029,9.0413,122.352,1026.4180370125707,121.6437849115694
33.4053,9.0415,122.558,1026.4208172606513,121.8485317429072
33.4072,9.0414,122.522,1026.4221552042666,121.81275075796938
33.4058,9.0423,122.557,1026.421075432185,121.84753782674306
33.4062,9.0402,122.483,1026.4213884741755,121.77398801725461
33.4072,9.0396,122.328,1026.4215622396896,121.6199308985309
33.4068,9.0398,122.326,1026.4212083745354,121.617943063986
33.4058,9.0408,122.413,1026.4206615749788,121.70441384890997
33.406,9.0414,122.409,1026.4207036252292,121.7004381814358
33.404,9.0414,122.29,1026.4185993200513,121.58216203888905
33.4041,9.0417,122.287,1026.418615802392,121.57918028651633
33.4037,9.0413,122.302,1026.4184353135022,121.5940890479471
33.4041,9.0413,122.322,1026.418838910541,121.61396739483851
33.4036,9.0413,122.349,1026.418570663436,121.64080316009104
33.4032,9.0411,122.338,1026.4182400021523,121.62987007096685
33.4036,9.0412,122.261,1026.418186880084,121.55333843080683
33.4036,9.0411,122.329,1026.41851184486,121.62092481579612
33.404,9.0409,122.293,1026.4186930658161,121.58514379121847
33.4048,9.0409,122.149,1026.418664300791,121.44201963059152
33.4046,9.0416,122.194,1026.4186002187816,121.4867459414981
33.4041,9.0422,122.384,1026.418976375553,121.67559025797914
33.404,9.0433,122.41,1026.4188400403757,121.70143209831154
33.4041,9.0436,122.51,1026.41932446433,121.8008237616053
33.4039,9.0419,122.568,1026.4197040364259,121.85847090428396
33.4034,9.0425,122.579,1026.4192669499876,121.86940398124311
33.4044,9.0418,122.515,1026.4198701839312,121.80579334350784
